CODE,GUBUN,YEAR,DETAIL_INDEX,INDICATOR
16,C,2015,0.873,2
16,C,2016,0.849,2
16,C,2017,0.635,2
16,C,2018,0.559,2
16,C,2019,0.489,2
17,C,2008,0.143,2
17,C,2009,0,2
17,C,2010,0,2
17,C,2011,0,2
17,C,2012,0,2
17,C,2013,0,2
17,C,2014,0,2
17,C,2015,0,2
17,C,2016,0,2
17,C,2017,0,2
17,C,2018,0,2
17,C,2019,0,2
0,C,2008,0.491,12
0,C,2009,0.545,12
0,C,2010,0.6,12
0,C,2011,0.651,12
0,C,2012,0.635,12
0,C,2013,0.607,12
0,C,2014,0.583,12
0,C,2015,0.525,12
0,C,2016,0.527,12
0,C,2017,0.394,12
0,C,2018,0.351,12
0,C,2019,0.383,12
1,C,2008,0.295,12
1,C,2009,0.433,12
1,C,2010,0.407,12
1,C,2011,0.514,12
1,C,2012,0.523,12
1,C,2013,0.527,12
1,C,2014,0.473,12
1,C,2015,0.409,12
1,C,2016,0.379,12
